Order ID,Order Date,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Customer ID
1001,2022-01-01,Central,Technology,Chairs,Product B,691.04,7,0.19,-178.95,C1001
1002,2022-01-02,South,Technology,Paper,Product A,179.36,2,0.12,-191.06,C1003
1003,2022-01-03,East,Furniture,Binders,Product C,912.71,8,0.01,293.86,C1003
1004,2022-01-04,Central,Furniture,Tables,Product C,826.09,2,0.05,13.89,C1001
1005,2022-01-05,Central,Office Supplies,Chairs,Product A,950.8,4,0.21,-7.84,C1001
1006,2022-01-06,South,Furniture,Tables,Product D,731.21,1,0.2,139.82,C1004
1007,2022-01-07,East,Technology,Paper,Product D,621.15,5,0.01,-90.87,C1001
1008,2022-01-08,East,Technology,Paper,Product A,429.88,9,0.07,274.98,C1004
1009,2022-01-09,Central,Furniture,Chairs,Product A,934.07,1,0.07,193.17,C1004
1010,2022-01-10,West,Technology,Binders,Product C,868.74,9,0.2,-155.29,C1001
1011,2022-01-11,Central,Technology,Phones,Product D,64.31,8,0.01,8.79,C1002
1012,2022-01-12,Central,Furniture,Chairs,Product A,45.84,6,0.03,239.56,C1002
1013,2022-01-13,Central,Furniture,Phones,Product C,388.93,7,0.24,272.37,C1004
1014,2022-01-14,Central,Technology,Phones,Product D,814.34,3,0.05,33.7,C1001
1015,2022-01-15,South,Technology,Binders,Product B,987.53,1,0.2,106.71,C1002
1016,2022-01-16,East,Technology,Phones,Product C,167.41,5,0.07,-116.48,C1001
1017,2022-01-17,South,Office Supplies,Phones,Product D,602.25,2,0.03,295.58,C1001
1018,2022-01-18,South,Office Supplies,Binders,Product D,393.27,5,0.07,-84.16,C1001
1019,2022-01-19,South,Office Supplies,Phones,Product C,970.52,8,0.22,271.37,C1005
1020,2022-01-20,Central,Furniture,Phones,Product B,845.28,9,0.26,124.82,C1001
1021,2022-01-21,West,Office Supplies,Phones,Product C,841.56,2,0.25,103.87,C1005
1022,2022-01-22,East,Furniture,Chairs,Product D,479.32,3,0.12,56.34,C1004
1023,2022-01-23,West,Furniture,Chairs,Product A,426.52,3,0.2,-84.67,C1002
1024,2022-01-24,South,Office Supplies,Chairs,Product A,287.94,1,0.06,-111.74,C1002
1025,2022-01-25,South,Office Supplies,Binders,Product C,75.25,8,0.09,-89.76,C1002
1026,2022-01-26,West,Office Supplies,Paper,Product D,867.43,6,0.27,-106.78,C1002
1027,2022-01-27,West,Technology,Phones,Product A,816.64,8,0.0,189.79,C1002
1028,2022-01-28,West,Office Supplies,Phones,Product D,999.72,9,0.03,-24.94,C1002
1029,2022-01-29,South,Technology,Binders,Product C,996.7,5,0.06,-171.08,C1002
1030,2022-01-30,South,Furniture,Phones,Product A,564.32,3,0.01,284.55,C1004
1031,2022-01-31,East,Technology,Chairs,Product D,773.61,5,0.05,241.89,C1001
1032,2022-02-01,East,Office Supplies,Paper,Product A,945.87,5,0.17,263.88,C1003
1033,2022-02-02,South,Furniture,Tables,Product C,852.65,5,0.13,297.45,C1005
1034,2022-02-03,West,Furniture,Phones,Product D,262.4,3,0.27,-113.05,C1003
1035,2022-02-04,West,Furniture,Chairs,Product A,461.53,4,0.25,-1.88,C1003
1036,2022-02-05,East,Technology,Tables,Product C,146.58,9,0.1,179.12,C1001
1037,2022-02-06,South,Office Supplies,Paper,Product A,954.97,9,0.08,148.01,C1001
1038,2022-02-07,East,Furniture,Tables,Product A,614.05,2,0.11,-123.05,C1001
1039,2022-02-08,East,Furniture,Chairs,Product B,244.07,8,0.18,207.92,C1002
1040,2022-02-09,Central,Furniture,Tables,Product B,678.27,8,0.08,-87.78,C1004
1041,2022-02-10,Central,Technology,Binders,Product C,625.77,7,0.19,-88.09,C1002
1042,2022-02-11,Central,Technology,Tables,Product B,371.0,8,0.12,68.49,C1004
1043,2022-02-12,West,Office Supplies,Phones,Product C,131.29,3,0.17,96.47,C1004
1044,2022-02-13,South,Technology,Phones,Product B,678.14,6,0.13,90.04,C1003
1045,2022-02-14,South,Furniture,Binders,Product A,529.9,1,0.09,-154.26,C1003
1046,2022-02-15,South,Office Supplies,Chairs,Product C,776.87,7,0.28,238.73,C1004
1047,2022-02-16,South,Furniture,Phones,Product C,529.76,1,0.23,-67.2,C1004
1048,2022-02-17,Central,Furniture,Paper,Product A,855.14,9,0.04,-135.24,C1002
1049,2022-02-18,West,Technology,Phones,Product C,560.87,1,0.26,244.37,C1002
1050,2022-02-19,West,Office Supplies,Phones,Product C,569.72,1,0.15,277.83,C1003
1051,2022-02-20,Central,Technology,Chairs,Product B,879.12,7,0.27,231.06,C1001
1052,2022-02-21,West,Technology,Tables,Product C,415.41,2,0.24,204.76,C1004
1053,2022-02-22,Central,Office Supplies,Phones,Product D,151.33,5,0.13,127.62,C1002
1054,2022-02-23,South,Furniture,Binders,Product A,48.21,8,0.01,75.43,C1003
1055,2022-02-24,Central,Furniture,Tables,Product B,760.03,8,0.08,-156.51,C1002
1056,2022-02-25,South,Office Supplies,Paper,Product B,627.9,3,0.16,4.23,C1004
1057,2022-02-26,South,Furniture,Chairs,Product D,710.0,7,0.19,-13.66,C1004
1058,2022-02-27,East,Office Supplies,Paper,Product A,228.7,3,0.08,-70.12,C1005
1059,2022-02-28,Central,Office Supplies,Tables,Product A,153.64,6,0.04,161.71,C1001
1060,2022-03-01,East,Technology,Tables,Product B,34.25,6,0.25,47.94,C1005
1061,2022-03-02,Central,Office Supplies,Tables,Product C,363.58,3,0.3,-159.48,C1003
1062,2022-03-03,Central,Technology,Paper,Product B,598.12,7,0.16,-89.91,C1002
1063,2022-03-04,East,Furniture,Tables,Product A,404.4,3,0.05,141.63,C1003
1064,2022-03-05,East,Furniture,Paper,Product D,448.73,8,0.08,-161.93,C1004
1065,2022-03-06,Central,Furniture,Tables,Product B,906.08,4,0.01,225.6,C1005
1066,2022-03-07,West,Furniture,Binders,Product A,361.29,1,0.27,47.57,C1005
1067,2022-03-08,South,Technology,Tables,Product B,523.71,4,0.04,40.29,C1005
1068,2022-03-09,East,Furniture,Paper,Product C,787.98,7,0.17,96.2,C1003
1069,2022-03-10,South,Office Supplies,Phones,Product B,408.61,4,0.08,212.34,C1004
1070,2022-03-11,West,Office Supplies,Tables,Product B,629.64,6,0.17,-26.1,C1002
1071,2022-03-12,West,Office Supplies,Phones,Product A,865.12,9,0.2,139.01,C1002
1072,2022-03-13,West,Technology,Binders,Product A,950.53,1,0.25,82.87,C1003
1073,2022-03-14,East,Furniture,Chairs,Product A,164.13,5,0.06,-66.49,C1005
1074,2022-03-15,West,Furniture,Binders,Product B,928.06,7,0.0,239.31,C1001
1075,2022-03-16,East,Furniture,Tables,Product C,502.27,1,0.04,198.71,C1003
1076,2022-03-17,West,Technology,Phones,Product D,273.08,4,0.27,129.23,C1003
1077,2022-03-18,South,Office Supplies,Phones,Product D,469.95,6,0.26,225.29,C1004
1078,2022-03-19,South,Office Supplies,Paper,Product A,980.43,2,0.18,233.65,C1002
1079,2022-03-20,Central,Furniture,Phones,Product A,502.77,5,0.18,154.18,C1003
1080,2022-03-21,South,Office Supplies,Paper,Product B,342.18,1,0.2,218.51,C1003
